Critter AttackUp Lv. 1 (50 seconds), 0 hearts, 0% crit chance - Bladed Rhino Beetle
Food None Lv. 0 (80 seconds), 1 hearts, 0% crit chance - Fresh Milk
Additive None Lv. 0 (90 seconds), 0 hearts, 10% crit chance - Goron Spice
Food None Lv. 0 (90 seconds), 2 hearts, 10% crit chance - Bird Egg
MonsterPart None Lv. 0 (160 seconds), 0 hearts, 30% crit chance - Ancient Core
MonsterPart None Lv. 0 (160 seconds), 0 hearts, 30% crit chance - Bokoblin Guts
MonsterPart None Lv. 0 (160 seconds), 0 hearts, 30% crit chance - Giant Ancient Core
MonsterPart None Lv. 0 (160 seconds), 0 hearts, 30% crit chance - Hinox Guts
MonsterPart None Lv. 0 (160 seconds), 0 hearts, 30% crit chance - Icy Lizalfos Tail
MonsterPart None Lv. 0 (160 seconds), 0 hearts, 30% crit chance - Keese Eyeball
MonsterPart None Lv. 0 (160 seconds), 0 hearts, 30% crit chance - Lizalfos Tail
MonsterPart None Lv. 0 (160 seconds), 0 hearts, 30% crit chance - Lynel Guts
MonsterPart None Lv. 0 (160 seconds), 0 hearts, 30% crit chance - Moblin Guts
MonsterPart None Lv. 0 (160 seconds), 0 hearts, 30% crit chance - Molduga Guts
MonsterPart None Lv. 0 (160 seconds), 0 hearts, 30% crit chance - Octo Balloon
MonsterPart None Lv. 0 (160 seconds), 0 hearts, 30% crit chance - Red Lizalfos Tail
MonsterPart None Lv. 0 (160 seconds), 0 hearts, 30% crit chance - Yellow Lizalfos Tail
Additive None Lv. 0 (180 seconds), 2 hearts, 100% crit chance - Dinraal's Claw
Additive None Lv. 0 (180 seconds), 2 hearts, 100% crit chance - Farosh's Claw
Additive None Lv. 0 (180 seconds), 2 hearts, 100% crit chance - Naydra's Claw
Additive None Lv. 0 (600 seconds), 2.5 hearts, 100% crit chance - Shard of Dinraal's Fang
Additive None Lv. 0 (600 seconds), 2.5 hearts, 100% crit chance - Shard of Farosh's Fang
Additive None Lv. 0 (600 seconds), 2.5 hearts, 100% crit chance - Shard of Naydra's Fang
Additive None Lv. 0 (1800 seconds), 3.75 hearts, 100% crit chance - Shard of Dinraal's Horn
Additive None Lv. 0 (1800 seconds), 3.75 hearts, 100% crit chance - Shard of Farosh's Horn
Additive None Lv. 0 (1800 seconds), 3.75 hearts, 100% crit chance - Shard of Naydra's Horn
Food Quietness Lv. 1 (120 seconds), 0 hearts, 0% crit chance - Blue Nightshade
Critter Quietness Lv. 1 (120 seconds), 0 hearts, 0% crit chance - Sunset Firefly
Food Quietness Lv. 1 (120 seconds), 2 hearts, 0% crit chance - Sneaky River Snail
Food Quietness Lv. 2 (120 seconds), 1 hearts, 0% crit chance - Silent Shroom
Food Quietness Lv. 2 (120 seconds), 2 hearts, 0% crit chance - Stealthfin Trout
Food Quietness Lv. 3 (120 seconds), 2 hearts, 0% crit chance - Silent Princess
Critter ResistCold Lv. 1 (150 seconds), 0 hearts, 0% crit chance - Summerwing Butterfly
Food ResistCold Lv. 1 (150 seconds), 0 hearts, 0% crit chance - Warm Safflina
Food ResistCold Lv. 1 (150 seconds), 1 hearts, 0% crit chance - Spicy Pepper
Critter ResistCold Lv. 2 (150 seconds), 0 hearts, 0% crit chance - Warm Darner
Food ResistCold Lv. 2 (150 seconds), 1 hearts, 0% crit chance - Sunshroom
Food ResistCold Lv. 3 (150 seconds), 2 hearts, 0% crit chance - Sizzlefin Trout
Food ResistElectric Lv. 1 (150 seconds), 0 hearts, 0% crit chance - Electric Safflina
Critter ResistElectric Lv. 1 (150 seconds), 0 hearts, 0% crit chance - Thunderwing Butterfly
Food ResistElectric Lv. 1 (150 seconds), 1 hearts, 0% crit chance - Voltfruit
Critter ResistElectric Lv. 2 (150 seconds), 0 hearts, 0% crit chance - Electric Darner
Food ResistElectric Lv. 2 (150 seconds), 1 hearts, 0% crit chance - Zapshroom
Food ResistElectric Lv. 3 (150 seconds), 2 hearts, 0% crit chance - Voltfin Trout
Food ResistHot Lv. 1 (150 seconds), 0 hearts, 0% crit chance - Cool Safflina
Critter ResistHot Lv. 1 (150 seconds), 0 hearts, 0% crit chance - Winterwing Butterfly
Food ResistHot Lv. 1 (150 seconds), 1 hearts, 0% crit chance - Hydromelon
Critter ResistHot Lv. 2 (150 seconds), 0 hearts, 0% crit chance - Cold Darner
Food ResistHot Lv. 2 (150 seconds), 1 hearts, 0% crit chance - Chillshroom
Food ResistHot Lv. 3 (150 seconds), 2 hearts, 0% crit chance - Chillfin Trout
